Name,Ingredients,Instructions,nutr_per_ingredient,quantity,unit,weight_per_ingr,Total Time,Calories
Misty Fjord Smoked Salmon Spread,"['fish, salmon, atlantic, wild, raw', 'cheese, parmesan, hard', 'cream, sour, cultured', 'onions, raw', 'horseradish, prepared', 'lemon juice, raw', 'sauce, worcestershire', 'spices, tarragon, dried']","['Blend together all ingredients with a food processor or electric mixer.', 'Spoon mixture into a bowl, cover and refrigerate.', 'Bring to room temperature 30 minutes before serving with crackers or bread.']","[{'fat': 14.3788664, 'nrg': 322.05032, 'pro': 44.996326399999994, 'sat': 2.2248687599999997, 'sod': 99.79024, 'sug': 0.0}, {'fat': 58.58140679999999, 'nrg': 889.04032, 'pro': 81.07956999999999, 'sat': 37.2172236, 'sod': 3120.71296, 'sug': 1.814368}, {'fat': 9.28, 'nrg': 96.0, 'pro': 1.16, 'sat': 4.868, 'sod': 16.0, 'sug': 1.64}, {'fat': 0.03, 'nrg': 12.0, 'pro': 0.33, 'sat': 0.0125625, 'sod': 1.125, 'sug': 1.27125}, {'fat': 0.09, 'nrg': 6.0, 'pro': 0.18, 'sat': 0.012, 'sod': 63.0, 'sug': 1.2000000000000002}, {'fat': 0.036875, 'nrg': 3.375, 'pro': 0.053125, 'sat': 0.006125, 'sod': 0.125, 'sug': 0.384375}, {'fat': 0.0, 'nrg': 0.5416666666666666, 'pro': 0.0, 'sat': 0.0, 'sod': 6.958333333333333, 'sug': 0.07125}, {'fat': 0.04, 'nrg': 2.0, 'pro': 0.14, 'sat': 0.011, 'sod': 0.0, 'sug': 0.0}]","['8', '8', '1/4', '3', '1', '1', '1', '1']","['ounce', 'ounce', 'cup', 'tablespoon', 'tablespoon', 'tablespoon', 'dash', 'teaspoon']","[226.796, 226.796, 48.0, 30.0, 15.0, 15.25, 0.7083333333333333, 0.6]",30.0,1331.0073066666666
Bently's Good Enough For Lafayette Sauce Recipe,"['catsup', 'vinegar, cider', 'water, bottled, generic', 'sauce, worcestershire', 'sugars, brown', 'spices, pepper, red or cayenne']","['MAKES ABOUT 5 C.', 'IN A MEDIUM SAUCEPAN, COMBINE INGREDIENTS AND SIMMER OVER MEDIUM LOW HEAT 10 TO 20 Min.', 'STORE UNUSED SAUCE INDEFINATELY IN A COOK DARK PLACE.', 'USES: AS A MARINADE, FINISHING Or possibly TABLE SAUCE ON PULLED PORK, Or possibly CHICKEN.', ""WOULDN'Tablespoons TASTE BACK IN A BLOODY MARY EITHER.""]","[{'fat': 0.64, 'nrg': 544.0, 'pro': 5.76, 'sat': 0.064, 'sod': 4928.0, 'sug': 115.84}, {'fat': 0.0, 'nrg': 96.0, 'pro': 0.0, 'sat': 0.0, 'sod': 32.0, 'sug': 1.92}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 8.0, 'sug': 0.0}, {'fat': 0.0, 'nrg': 52.0, 'pro': 0.0, 'sat': 0.0, 'sod': 668.0, 'sug': 6.84}, {'fat': 0.0, 'nrg': 396.0, 'pro': 0.0, 'sat': 0.0, 'sod': 36.0, 'sug': 104.76}, {'fat': 1.86, 'nrg': 36.0, 'pro': 1.32, 'sat': 0.354, 'sod': 6.0, 'sug': 1.1400000000000001}]","['2', '2', '1', '1/4', '3/4', '2']","['cup', 'cup', 'cup', 'cup', 'cup', 'tablespoon']","[544.0, 476.8, 236.8, 68.0, 108.0, 10.8]",,1124.0
Diabetic Bombay Chicken,"['margarine, regular, 80% fat, composite, stick, without salt', 'soup, chicken broth or bouillon, dry', 'nuts, almonds', 'spices, curry powder', 'water, bottled, generic', 'apples, raw, with skin', 'milk, fluid, 1% fat, without added vitamin a and vitamin d', 'onions, raw', 'lemon juice, raw', 'mushrooms, white, raw', 'chicken, broiler or fryers, breast, skinless, boneless, meat only, raw', 'wheat flour, white, all-purpose, unenriched']","['Melt the margarine in a large frying pan [skillet] over medium heat; add the almonds.', 'Cook the almonds for approximately 10 minutes until they are golden brown; stirring frequently to prevent burning.', 'Sprinkle 1 teaspoon curry powder over the almonds and toss lightly to ensure they are properly coated Cook for an additional 2 minutes.', 'Line a plate with paper towels and place almonds on the towels to drain.', 'Add the apple, onion, and mushrooms to the frying pan and saute for 5 minutes.', 'Stir the remaining 1 teaspoon curry powder and flour into the apple/mushroom mixture.', 'Cook over low heat for 2 minutes, stirring frequently, to prevent burning.', 'Dissolve bouillon granules [or chicken stock cube] in boiling water and add to frying pan with milk and lemon juice.', 'Cook over low heat 5 minutes or until smooth and thickened, stirring constantly.', 'Add chicken and continue to cook over low heat, stirring constantly, until the chicken is thoroughly heated.', 'Serve the Bombay Chicken immediately over brown rice.', 'This is a really delicious way of adding some changes to your everyday chicken.']","[{'fat': 3.8200000000000003, 'nrg': 34.0, 'pro': 0.006666666666666666, 'sat': 0.719, 'sod': 0.0, 'sug': 0.0}, {'fat': 0.28, 'nrg': 5.0, 'pro': 0.33, 'sat': 0.069, 'sod': 477.99999999999994, 'sug': 0.35}, {'fat': 999.6000000000001, 'nrg': 11592.0, 'pro': 423.35999999999996, 'sat': 76.11800000000001, 'sod': 14.0, 'sug': 87.08}, {'fat': 0.56, 'nrg': 12.0, 'pro': 0.58, 'sat': 0.066, 'sod': 2.0, 'sug': 0.11999999999999998}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 8.0, 'sug': 0.0}, {'fat': 0.21, 'nrg': 65.0, 'pro': 0.33, 'sat': 0.035, 'sod': 1.0, 'sug': 12.99}, {'fat': 28.44, 'nrg': 1224.0, 'pro': 98.64000000000001, 'sat': 18.54, 'sod': 1284.0, 'sug': 152.28}, {'fat': 1.92, 'nrg': 768.0, 'pro': 21.12, 'sat': 0.804, 'sod': 72.0, 'sug': 81.36}, {'fat': 0.036875, 'nrg': 3.375, 'pro': 0.053125, 'sat': 0.006125, 'sod': 0.125, 'sug': 0.384375}, {'fat': 2.88, 'nrg': 180.0, 'pro': 25.92, 'sat': 0.42000000000000004, 'sod': 48.0, 'sug': 16.68}, {'fat': 5.502000000000001, 'nrg': 252.0, 'pro': 47.25, 'sat': 1.1823, 'sod': 94.5, 'sug': 0.0}, {'fat': 0.076875, 'nrg': 28.4375, 'pro': 0.806875, 'sat': 0.012125, 'sod': 0.125, 'sug': 0.02125}]","['1', '1', '14', '2', '1', '1', '12', '12', '1', '12', '1 1/2', '1']","['teaspoon', 'teaspoon', 'cup', 'teaspoon', 'cup', 'cup', 'cup', 'cup', 'tablespoon', 'cup', 'cup', 'tablespoon']","[4.7333333333333325, 2.0, 2002.0, 4.0, 236.8, 125.0, 2928.0, 1920.0, 15.25, 840.0, 210.0, 7.8125]",24.0,14163.8125
Jamie Oliver's Strawberry Jam,"['strawberries, raw', 'sugars, powdered']","['Put the strawberries in a large shallow mixing bowl.', 'Sprinkle the caster sugar on top.', 'Mix in the strawberries and the sugar until well coated.', 'With your hand scrunch up the sugared strawberries until it turn into rough mush and pulpy, and the sugar dissolved.', 'Pour the mixture to a sauce pan and bring to boil, after that simmer for 30 minutes.', 'Skim off any foam during the cooking process.', 'Let cool and put it in a sterilized jars.']","[{'fat': 6.0, 'nrg': 640.0, 'pro': 13.4, 'sat': 0.3, 'sod': 20.0, 'sug': 97.8}, {'fat': 0.0, 'nrg': 1167.0, 'pro': 0.0, 'sat': 0.0, 'sod': 6.0, 'sug': 293.43}]","['2000', '300']","['g', 'g']","[2000.0, 300.0]",30.0,1807.0
Whole Wheat Breakfast Muffins,"['oil, canola', 'sugars, brown', 'applesauce, canned, unsweetened, without added ascorbic acid (includes usda commodity)', 'wheat flour, white, all-purpose, unenriched', 'leavening agents, baking soda', 'spices, cinnamon, ground', 'raisins, seeded']","['Mix in order as listed.', 'Do not over beat.', 'Spoon into greased muffin tins.', 'Bake at 350 degrees for 19 minutes.']","[{'fat': 2688.0, 'nrg': 23808.0, 'pro': 0.0, 'sat': 197.952, 'sod': 0.0, 'sug': 0.0}, {'fat': 0.0, 'nrg': 6336.0, 'pro': 0.0, 'sat': 0.0, 'sod': 576.0, 'sug': 1676.16}, {'fat': 0.24, 'nrg': 102.0, 'pro': 0.41, 'sat': 0.02, 'sod': 5.0, 'sug': 22.91}, {'fat': 1.845, 'nrg': 682.5, 'pro': 19.365000000000002, 'sat': 0.29100000000000004, 'sod': 3.0, 'sug': 0.51}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 1259.0, 'sug': 0.0}, {'fat': 0.029999999999999995, 'nrg': 6.0, 'pro': 0.1, 'sat': 0.009, 'sod': 0.0, 'sug': 0.05999999999999999}, {'fat': 10.68, 'nrg': 5856.0, 'pro': 49.92, 'sat': 3.5279999999999996, 'sod': 552.0, 'sug': 0.0}]","['12', '12', '1', '1 1/2', '1', '1', '12']","['cup', 'cup', 'cup', 'cup', 'teaspoon', 'teaspoon', 'cup']","[2688.0, 1728.0, 244.0, 187.5, 4.6, 2.6, 1980.0]",19.0,36790.5
Spiced Holiday Nuts,"['oil, olive, salad or cooking', 'spices, ginger, ground', 'spices, curry powder', 'spices, pepper, red or cayenne', 'sugars, granulated', 'honey', 'nuts, walnuts, english', 'nuts, pecans']","['Line baking sheet with foil.', 'Lightly oil foil.', 'Heat 2 tablespoons oil in large nonstick skillet over medium heat.', 'Add ginger, curry powder and cayenne pepper; saute until fragrant, about 5 seconds.', 'Stir in sugar and honey.', 'Add nuts.', 'Stir until honey mixture is amber in color and nuts are well coated, about 6 minutes.', 'Transfer nut mixture to prepared baking sheet.', 'Working quickly, separate nuts with spoon.', 'Sprinkle with salt.', 'Cool.', '(Can be made 3 days ahead.', 'Store in airtight container at room temperature.)']","[{'fat': 27.0, 'nrg': 238.0, 'pro': 0.0, 'sat': 3.728, 'sod': 0.0, 'sug': 0.0}, {'fat': 0.04, 'nrg': 3.0, 'pro': 0.08, 'sat': 0.0235, 'sod': 0.0, 'sug': 0.029999999999999995}, {'fat': 0.14, 'nrg': 3.0, 'pro': 0.145, 'sat': 0.0165, 'sod': 0.5, 'sug': 0.029999999999999995}, {'fat': 0.0775, 'nrg': 1.5, 'pro': 0.055, 'sat': 0.01475, 'sod': 0.25, 'sug': 0.047499999999999994}, {'fat': 0.0, 'nrg': 96.0, 'pro': 0.0, 'sat': 0.0, 'sod': 0.0, 'sug': 25.140000000000004}, {'fat': 0.0, 'nrg': 64.4375, 'pro': 0.06375, 'sat': 0.0, 'sod': 0.875, 'sug': 17.399375}, {'fat': 57.224999999999994, 'nrg': 573.75, 'pro': 13.365, 'sat': 5.375249999999999, 'sod': 1.5, 'sug': 2.2874999999999996}, {'fat': 58.837500000000006, 'nrg': 564.75, 'pro': 7.5, 'sat': 5.052, 'sod': 0.0, 'sug': 3.2475}]","['2', '1/2', '1/2', '1/4', '2', '1', '3/4', '3/4']","['tablespoon', 'teaspoon', 'teaspoon', 'teaspoon', 'tablespoon', 'tablespoon', 'cup', 'cup']","[27.0, 0.9, 1.0, 0.45, 25.200000000000003, 21.1875, 87.75, 81.75]",6.0,1544.4375
Green Beans and Corn,"['water, bottled, generic', 'beans, snap, green, raw', 'corn, sweet, white, raw', 'margarine, regular, 80% fat, composite, stick, without salt', 'onions, raw', 'spices, basil, dried', 'lemon juice, raw', 'spices, pepper, black']","['In a medium saucepan, bring the water to a boil over high heat.', 'Stir in the beans and corn.', 'Reduce the heat and simmer, covered, for 5 to 8 minutes, or until the beans are just tender.', 'Drain well in a colander.', 'Set aside.', 'In the same pan, melt the margarine over medium-high heat, swirling to coat the bottom.', 'Cook the onion for 3 minutes, or until soft, stirring frequently.', 'Return the green beans and corn to the pan.', 'Stir in the basil, lemon juice, and pepper.', 'Substitute fresh or frozen lima beans for the green beans.', 'Increase the simmering time to 15 to 20 minutes.', 'Substitute crumbled dried marjoram for the basil.', '(Per serving)', 'Calories: 47', 'Total fat: 1.0g', 'Saturated: 0.0g', 'Trans: 0.0g', 'Polyunsaturated: 0.5g', 'Monounsaturated: 0.5g', 'Cholesterol: 0mg', 'Sodium: 14mg', 'Carbohydrates: 10g', 'Fiber: 2g', 'Sugars: 2g', 'Protein: 2g', 'Calcium: 20mg', 'Potassium: 189mg', '1/2 starch', '(Per serving)', 'Calories: 95', 'Total fat: 1.0g', 'Saturated: 0.0g', 'Trans: 0.0g', 'Polyunsaturated: 0.5g', 'Monounsaturated: 0.5g', 'Cholesterol: 0mg', 'Sodium: 34mg', 'Carbohydrates: 19g', 'Fiber: 4g', 'Sugars: 2g', 'Protein: 5g', 'Calcium: 21mg', 'Potassium: 308mg', '1 starch']","[{'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 4.0, 'sug': 0.0}, {'fat': 0.22, 'nrg': 31.0, 'pro': 1.83, 'sat': 0.05, 'sod': 6.0, 'sug': 3.26}, {'fat': 1.82, 'nrg': 132.0, 'pro': 4.96, 'sat': 0.28, 'sod': 23.0, 'sug': 4.96}, {'fat': 3.8200000000000003, 'nrg': 34.0, 'pro': 0.006666666666666666, 'sat': 0.719, 'sod': 0.0, 'sug': 0.0}, {'fat': 0.03, 'nrg': 12.0, 'pro': 0.33, 'sat': 0.0125625, 'sod': 1.125, 'sug': 1.27125}, {'fat': 0.014999999999999998, 'nrg': 1.0, 'pro': 0.08, 'sat': 0.007499999999999999, 'sod': 0.5, 'sug': 0.005}, {'fat': 0.006145833333333333, 'nrg': 0.5625, 'pro': 0.008854166666666666, 'sat': 0.0010208333333333332, 'sod': 0.020833333333333332, 'sug': 0.0640625}, {'fat': 0.00875, 'nrg': 0.75, 'pro': 0.029999999999999995, 'sat': 0.004, 'sod': 0.0, 'sug': 0.00125}]","['1/2', '1', '1', '1', '3', '1/2', '1/2', '1']","['cup', 'cup', 'cup', 'teaspoon', 'tablespoon', 'teaspoon', 'teaspoon', 'dash']","[118.4, 100.0, 154.0, 4.7333333333333325, 30.0, 0.35, 2.5416666666666665, 0.2875]",31.0,211.3125
Southern Turnips and Greens,"['turnips, raw', 'water, bottled, generic', 'salt, table', 'bacon, meatless']","['Cut turnip leaves from turnip root.', 'Wash turnip greens 3 times in cold water and cut off bit stem sections.', 'Peel turnip root and cut into small cubes.', 'Place water in a large pot with lid and bring to a boil.', 'Place turnip greens along with cubed roots into pot.', 'Add salt and bacon drippings.', 'Boil on simmering heat for approximately one hour.', 'Cut turnips greens into small pieces.', 'Serve and enjoy!']","[{'fat': 0.907184, 'nrg': 254.01152000000002, 'pro': 8.164656, 'sat': 0.09979023999999999, 'sod': 607.81328, 'sug': 34.472992}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 32.0, 'sug': 0.0}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 2325.0, 'sug': 0.0}, {'fat': 5.31375, 'nrg': 55.625, 'pro': 2.10375, 'sat': 0.832, 'sod': 263.75, 'sug': 0.0}]","['2', '4', '1', '2']","['pound', 'cup', 'teaspoon', 'tablespoon']","[907.184, 947.2, 6.0, 18.0]",,309.63652
Southern Fried Okra,"['wheat flour, white, all-purpose, unenriched', 'cornmeal, degermed, unenriched, yellow', 'spices, pepper, red or cayenne', 'salt, table', 'spices, pepper, black', 'milk, buttermilk, fluid, cultured, lowfat', 'okra, raw', 'oil, olive, salad or cooking']","['In a shallow bowl, mix together the flour, cornmeal, cayenne, salt and pepper.', 'Pour the buttermilk into a large bowl and add the cut up okra, stirring to coat.', 'Now, with a slotted spoon, remove the okra from the buttermilk in small batches and toss it into the corn/flour mixture.', 'Toss around with your hands, letting the excess flour fall through your fingers.', 'Arrange in a single layer on a baking sheet.', 'Continue with the rest of the okra.', 'Heat the oil in a heavy pot until its like, really hot.', 'You can stick a little wooden stick in the oil, and if it sizzles, youre ready.', 'Again, in small batches, spoon a few pieces of coated okra at a time into the hot oil (I used a large spoon because every time I tossed an okra into the oil, it would splatter me and I would cry) and fry until golden brown.', 'This will seriously not take long.', 'Like 10 seconds.', 'And the further into the frying you get, the less time it takes.', 'SCIENCE!', 'Once theyre good and fried, remove them from the oil and arrange in a single layer on some paper towels so they can drain.', 'Repeat with additional batches of okra until you are done.', 'Give them one last good salting, and serve in a basket or whatever with some fresh lemon juice and your favorite dipping sauce!', 'Or eat them as is.', 'The south has risen.', '(Recipe adapted from Ezra Poundcake)']","[{'fat': 0.615, 'nrg': 227.5, 'pro': 6.455, 'sat': 0.097, 'sod': 1.0, 'sug': 0.17}, {'fat': 1.375, 'nrg': 290.5, 'pro': 5.58, 'sat': 0.1725, 'sod': 5.5, 'sug': 1.265}, {'fat': 0.019344, 'nrg': 0.3744, 'pro': 0.013728, 'sat': 0.0036815999999999997, 'sod': 0.0624, 'sug': 0.011856}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 145.08, 'sug': 0.0}, {'fat': 0.004368, 'nrg': 0.3744, 'pro': 0.014976, 'sat': 0.0019968000000000004, 'sod': 0.0, 'sug': 0.000624}, {'fat': 2.16, 'nrg': 98.0, 'pro': 8.11, 'sat': 1.343, 'sod': 466.0, 'sug': 11.74}, {'fat': 0.8618248, 'nrg': 149.68536, 'pro': 8.754325599999998, 'sat': 0.11793391999999998, 'sod': 31.751440000000002, 'sug': 6.7131616}, {'fat': 648.0, 'nrg': 5712.0, 'pro': 0.0, 'sat': 89.47200000000001, 'sod': 0.0, 'sug': 0.0}]","['1/2', '1/2', '1', '1', '1', '1', '1', '3']","['cup', 'cup', 'pinch', 'pinch', 'pinch', 'cup', 'pound', 'cup']","[62.5, 78.5, 0.11232, 0.37439999999999996, 0.14351999999999998, 245.0, 453.592, 648.0]",,6478.43416
Peanut Butter Fudge,"['sugars, granulated', 'milk, fluid, 1% fat, without added vitamin a and vitamin d', 'peanut butter, smooth style, without salt', 'butter, without salt', 'vanilla extract']","['Butter an 8 x 8 dish.', 'In a saucepan, combine sugar and milk.', 'Measure remaining ingredients and set aside.', 'Cook over medium heat stirring occasionally till it comes to a boil.', 'Do not scrape the sides or bottom of the pot.', 'Let boil for 4 minutes, stirring occasionally.', 'Remove from heat.', 'Stir in remaining ingredients until melted and smooth.', 'Pour into prepared dish and refrigerate until firm.']","[{'fat': 0.0, 'nrg': 1536.0, 'pro': 0.0, 'sat': 0.0, 'sod': 0.0, 'sug': 402.24000000000007}, {'fat': 1.185, 'nrg': 51.0, 'pro': 4.11, 'sat': 0.7725, 'sod': 53.5, 'sug': 6.345}, {'fat': 131.52, 'nrg': 1528.0, 'pro': 56.88, 'sat': 26.432, 'sod': 40.0, 'sug': 26.88}, {'fat': 5.76, 'nrg': 51.0, 'pro': 0.06, 'sat': 3.5845, 'sod': 1.0, 'sug': 0.005}, {'fat': 0.0, 'nrg': 12.0, 'pro': 0.0, 'sat': 0.0, 'sod': 0.0, 'sug': 0.53}]","['2', '1/2', '1', '1/2', '1']","['cup', 'cup', 'cup', 'tablespoon', 'teaspoon']","[403.20000000000005, 122.0, 256.0, 7.1, 4.2]",4.0,3178.0
Pineapple Pops,"['pineapple juice, canned or bottled, unsweetened, without added ascorbic acid', 'milk, fluid, 1% fat, without added vitamin a and vitamin d', 'sugars, granulated']","['In a food processor, combine pineapple with milk and sugar; pulse until almost smooth, with some chunks of pineapple remaining.', 'Pour half the mixture into a medium bowl (or a glass measuring cup for easy pouring).', 'Pulse remaining mixture until completely smooth; add to mixture in bowl.', 'Divide among eight 3-ounce ice pop molds or paper cups.', 'Insert wooden sticks, and freeze until solid, about 4 hours (or up to 1 week).', 'To remove, dip bottom of molds in warm water 2 to 3 seconds.', '(Per Serving)', 'Calories: 58', 'Fat: 0.4g (0.2g Saturated Fat)', 'Protein: 0.6g', 'Carbohydrates: 14.1g', 'Fiber: 0.8g']","[{'fat': 0.8999999999999999, 'nrg': 396.0, 'pro': 2.7, 'sat': 0.06, 'sod': 15.0, 'sug': 74.85}, {'fat': 0.79, 'nrg': 34.0, 'pro': 2.74, 'sat': 0.5149999999999999, 'sod': 35.666666666666664, 'sug': 4.2299999999999995}, {'fat': 0.0, 'nrg': 192.0, 'pro': 0.0, 'sat': 0.0, 'sod': 0.0, 'sug': 50.28000000000001}]","['3', '1/3', '1/4']","['cup', 'cup', 'cup']","[750.0, 81.33333333333333, 50.400000000000006]",240.0,622.0
Low Fat Chicken Mango Chutney & Macadamias!,"['chicken, broiler or fryers, breast, skinless, boneless, meat only, raw', 'mustard, prepared, yellow', 'mango nectar, canned', 'pineapple, raw, all varieties', 'nuts, macadamia nuts, raw', 'spices, coriander seed']","['HEAT oven to 180C.', 'Cut chicken breasts horizontally.', 'Place chicken breasts in a baking dish.', 'In large bowl, stir together pineapple (with juice), mango chutney, mustard and finely chopped nuts.', 'POUR over chicken.', 'BAKE 50 minutes.', 'NOTE: Baste every 15 minutes.', 'TOP with chopped coriander; can use parsley instead.', 'ENJOY!', ""NOTE: Don't worry if nuts get a bit darkish brown."", 'NOTE: Can just cut chicken breasts in half vertically too -- is all up to you!']","[{'fat': 39.300000000000004, 'nrg': 1800.0, 'pro': 337.5, 'sat': 8.444999999999999, 'sod': 675.0, 'sug': 0.0}, {'fat': 0.25500000000000006, 'nrg': 4.5, 'pro': 0.28500000000000003, 'sat': 0.0165, 'sod': 82.5, 'sug': 0.07500000000000001}, {'fat': 5.1, 'nrg': 4352.0, 'pro': 9.520000000000001, 'sat': 1.1900000000000002, 'sod': 442.0, 'sug': 1062.5}, {'fat': 0.5399999999999999, 'nrg': 225.0, 'pro': 2.43, 'sat': 0.040499999999999994, 'sod': 4.5, 'sug': 44.324999999999996}, {'fat': 1421.42, 'nrg': 13468.0, 'pro': 148.4, 'sat': 226.26799999999997, 'sod': 98.0, 'sug': 85.68}, {'fat': 0.9600000000000001, 'nrg': 15.0, 'pro': 0.66, 'sat': 0.054, 'sod': 3.0, 'sug': 0.0}]","['1 1/2', '1 1/2', '34', '450', '14', '1']","['kg', 'teaspoon', 'cup', 'g', 'cup', 'tablespoon']","[1500.0, 7.5, 8534.0, 450.0, 1876.0, 5.4]",65.0,19864.5
Citrus Shrimp Salsa,"['sauce, salsa, ready-to-serve', 'crustaceans, shrimp, raw (not previously frozen)', 'orange juice, raw', 'lime juice, raw', 'spices, coriander seed', 'spices, pepper, red or cayenne']","['Combine all ingredients in a large mixing bowl.', 'Chill for 30 minutes or until ready to serve.', 'Serve with tortilla chips and additional lime wedges.']","[{'fat': 0.7711064000000001, 'nrg': 131.54167999999999, 'pro': 6.8945984, 'sat': 0.09525432, 'sod': 3225.03912, 'sug': 18.189039199999996}, {'fat': 3.03623145, 'nrg': 506.0385749999999, 'pro': 119.66323949999999, 'sat': 0.6012928949999999, 'sod': 708.4540049999999, 'sug': 0.0}, {'fat': 0.09375, 'nrg': 21.0, 'pro': 0.32625, 'sat': 0.01125, 'sod': 0.375, 'sug': 3.9056249999999997}, {'fat': 0.02125, 'nrg': 7.5, 'pro': 0.1275, 'sat': 0.002375, 'sod': 0.625, 'sug': 0.51125}, {'fat': 0.9600000000000001, 'nrg': 15.0, 'pro': 0.66, 'sat': 0.054, 'sod': 3.0, 'sug': 0.0}, {'fat': 0.03875, 'nrg': 0.75, 'pro': 0.0275, 'sat': 0.007375, 'sod': 0.125, 'sug': 0.023749999999999997}]","['16', '9-12', '3', '2', '1', '1']","['ounce', 'ounce', 'tablespoon', 'tablespoon', 'tablespoon', 'dash']","[453.592, 595.3394999999999, 46.5, 30.25, 5.4, 0.225]",30.0,681.8302549999999
Rum Sauce for Bread Pudding,"['wheat flour, white, all-purpose, unenriched', 'sugars, granulated', 'milk, fluid, 1% fat, without added vitamin a and vitamin d', 'butter, without salt', 'alcoholic beverage, distilled, rum, 80 proof']","['In a heavy sauce pan combine flour and sugar.', 'Stir in milk.', 'Cook over medium heat to bubbly boil stage, stirring constantly for about 2-3 minuutes.', 'Remove from heat, add butter and rum extract.', 'Pour over warm bread pudding, or add to servings separately.']","[{'fat': 0.15375, 'nrg': 56.875, 'pro': 1.61375, 'sat': 0.02425, 'sod': 0.25, 'sug': 0.0425}, {'fat': 0.0, 'nrg': 768.0, 'pro': 0.0, 'sat': 0.0, 'sod': 0.0, 'sug': 201.12000000000003}, {'fat': 28.44, 'nrg': 1224.0, 'pro': 98.64000000000001, 'sat': 18.54, 'sod': 1284.0, 'sug': 152.28}, {'fat': 34.56, 'nrg': 306.0, 'pro': 0.36, 'sat': 21.506999999999998, 'sod': 6.0, 'sug': 0.03}, {'fat': 0.0, 'nrg': 10.666666666666666, 'pro': 0.0, 'sat': 0.0, 'sod': 0.0, 'sug': 0.0}]","['2', '1', '12', '3', '1']","['tablespoon', 'cup', 'cup', 'tablespoon', 'teaspoon']","[15.625, 201.60000000000002, 2928.0, 42.599999999999994, 4.633333333333333]",,2365.5416666666665
Homemade Strawberry Ice Cream Recipe,"['strawberries, raw', 'lemon juice, raw', 'sugars, granulated', 'milk, fluid, 1% fat, without added vitamin a and vitamin d', 'cream, fluid, heavy whipping', 'vanilla extract']","['Combine strawberries, lemon juice, and 1/2 cup of sugar in a bowl and stir.', 'Allow to sit for up to 2 hours.', 'Strain berries and reserve the juices.', 'Puree half the berries.', 'In a medium bowl mix milk and remaining sugar until sugar is dissolved.', 'Stir in heavy cream, leftover juice from the berry mixture, vanilla, and mashed strawberries.', 'Turn on Cuisinart Ice Cream Machine and pour mixture into the frozen freezer bowl for about 20 minutes.', 'Add the rest of the strawberries and mix for another 5 minutes.', 'NOTE:.', 'The ice cream will be very soft and creamy.', 'We transferred ours to a container and stuck it in the freezer for about an hour to thicken it up a little the way we like it.', 'I am looking forward to trying out some other new ice cream recipes now that I see just how easy it is to do!', 'In fact, I have a container of blueberries in the kitchen that I think would be great in ice cream too!']","[{'fat': 1.3800000000000001, 'nrg': 147.0, 'pro': 3.06, 'sat': 0.069, 'sod': 6.0, 'sug': 22.29}, {'fat': 0.1475, 'nrg': 13.5, 'pro': 0.2125, 'sat': 0.0245, 'sod': 0.5, 'sug': 1.5375}, {'fat': 0.0, 'nrg': 1152.0, 'pro': 0.0, 'sat': 0.0, 'sod': 0.0, 'sug': 301.68}, {'fat': 3.555, 'nrg': 153.0, 'pro': 12.330000000000002, 'sat': 2.3175, 'sod': 160.5, 'sug': 19.035}, {'fat': 119.07499999999999, 'nrg': 1122.0, 'pro': 9.377500000000001, 'sat': 76.00450000000001, 'sod': 88.0, 'sug': 9.625}, {'fat': 0.0, 'nrg': 18.0, 'pro': 0.0, 'sat': 0.0, 'sod': 0.0, 'sug': 0.795}]","['3', '4', '1 1/2', '1 1/2', '2 3/4', '1 1/2']","['cup', 'tablespoon', 'cup', 'cup', 'cup', 'teaspoon']","[456.0, 61.0, 302.40000000000003, 366.0, 330.0, 6.300000000000001]",145.0,2605.5
